,words,translate,frequency,ngram
662,学竄,배우다,4,2
663,護完,護完,4,2
664,遡闢傳,전기,4,3
665,烧,타다,4,1
666,秀,보여 주다,4,1
667,过,통과하다,4,1
668,多,많은,4,1
669,里,에,4,1
670,一个,하나,4,2
671,到,에,4,1
672,咜,咜,4,1
673,它,그것,4,1
674,捨,처분,3,1
675,鼻,코,3,1
676,椴,Linden,3,1
677,寅,음,3,1
678,納,Na,3,1
679,山,山,3,1
680,僕,나,3,1
681,齦,고무,3,1
682,杷,비파,3,1
683,番,차례,3,1
684,捨仕,Shes,3,2
685,椴碧,타이 비,3,2
686,寅益,호랑이 이익,3,2
687,兎閧,兎閧,3,2
688,齦杷,치은 비파,3,2
689,誇,자랑,3,1
690,魅,매력,3,1
691,珊,Shan,3,1
692,貴,비싼,3,1
693,冶,빙어,3,1
694,膝,무릎,3,1
695,税出,세금 아웃,3,2
696,冶無,예우,3,2
697,記,생각해 내다,3,1
698,硅,규소,3,1
699,物,물건,3,1
700,对,옳은,3,1
701,我,나는,3,1
702,发,머리,3,1
703,纸,종이,3,1
704,光,빛,3,1
705,把,놓다,3,1
706,冬,겨울,3,1
707,通,...을 통하여,3,1
708,村,마을,3,1
709,硅基,실리콘 기반,3,2
710,我们,우리,3,2
711,他们,그들,3,2
712,星,별,3,1
713,没,아니,3,1
714,已,이미,3,1
715,命,생명,3,1
716,时,시각,3,1
717,没有,아니,3,2
718,起来,일어나,3,2
719,様,님,3,1
720,下,아래에,3,1
721,传,통과하다,3,1
722,前,전에,3,1
723,去,함께 가다,3,1
724,向,...에,3,1
725,舰,배,3,1
726,受,받다,2,1
727,蛯,크리켓,2,1
728,含,와,2,1
729,品,생성물,2,1
730,焦一,이자 오,2,2
731,度,정도,2,1
732,斉,제나라,2,1
733,由,으로,2,1
734,于,에,2,1
735,理,이유,2,1
736,帝,황제,2,1
737,国,국가,2,1
738,神,하느님,2,1
739,速,速,2,1
740,碳,탄소,2,1
741,联,노동 조합,2,1
742,邦,상태,2,1
743,离,...에서,2,1
744,香,香,2,1
745,又,또한,2,1
746,银,银,2,1
747,背,뒤,2,1
748,面,표면,2,1
749,只,뿐,2,1
750,千,千,2,1
751,块,조각,2,1
752,肚,양,2,1
753,疼,고통,2,1
754,钱,钱,2,1
755,儿,아이,2,1
756,基帝,고양이 새끼,2,2
757,帝国,제국,2,2
758,碳基,탄소 기반,2,2
759,基联,베이스 유니온,2,2
760,联邦,연방,2,2
761,烧香,향을 태우다,2,2
762,象以,처럼,2,2
763,在冬,겨울에,2,2
764,冬夜,겨울 밤,2,2
765,起了,일어나,2,2
766,秀秀,Xiuxiu,2,2
767,一些,약간,2,2
768,硅基帝,시지 디,2,3
769,基帝国,베이스 제국,2,3
770,碳基联,탄소 기반 연합,2,3
771,基联邦,기본 연합,2,3
772,在冬夜,在冬夜,2,3
773,硅基帝国,실리콘 제국,2,4
774,碳基联邦,탄소 기반 연맹,2,4
775,气,가스,2,1
776,转,회전,2,1
777,温,온도,2,1
778,中,에,2,1
779,烛,양초,2,1
780,从,에서,2,1
781,已没,지나간,2,2
782,生命,생명,2,2
783,时间,시각,2,2
784,已没有,더 이상은 없어,2,3
785,科,분기,2,1
786,閭科,루크,2,2
787,界,세계,2,1
788,以領,칼라에,2,2
789,領最,가장 많이 이끌어 라,2,2
790,最記,대부분의 기억,2,2
791,以領最,가장 리드하기 위해,2,3
792,領最記,가장 많이 이끌어 라,2,3
793,以領最記,가장 염두에 두는,2,4
794,递,통과하다,2,1
795,久,久,2,1
796,递送,배달,2,2
797,送到,전송,2,2
798,庚,Geng,2,1
799,挺,대단히,2,1
800,鵜,가마우지,2,1
801,追稼,追稼,2,2
802,検,검,2,1
803,湖,호수,2,1
804,湖出,밖으로 호수,2,2
805,友,친구,2,1
806,筑,짓다,2,1
807,渓,渓,2,1
808,远,멀리,2,1
809,超,극단론자,2,1
810,云,구름,2,1
811,清,맑은,2,1
812,抽,펌프,2,1
813,比,비율,2,1
814,质,품질,2,1
815,量,금액,2,1
816,反,안티,2,1
817,下来,내려와,2,2
818,通过,으로,2,2
819,过超,위에,2,2
820,超空,슈퍼 스페이스,2,2
821,空间,우주,2,2
822,与它,그것으로,2,2
823,通过超,슈퍼,2,3
824,过超空,우주 위로,2,3
825,超空间,초 공간,2,3
826,通过超空,초 공간을 통해,2,4
827,过超空间,초 공간,2,4
828,通过超空间,초 공간을 통해,2,5
829,依,에 따르면,2,1
830,烈,강한,2,1
831,歎,한숨,2,1
832,依烈,Yilie,2,2
833,幸,럭키,2,1
834,告,알리다,2,1
835,辑,편집하다,2,1
836,提,언급하다,2,1
837,旧,旧,2,1
838,道,타오,2,1
839,次,타임스,2,1
840,干,마른,2,1
841,他知,그는 알고있다,2,2
842,知道,알고있다,2,2
843,以前,전에,2,2
844,他知道,그는 알고있다,2,3
845,勇,용감한,2,1
846,标,표,2,1
847,赚,벌다,2,1
848,挨,참다,2,1
849,战,전쟁,2,1
850,目标,目标,2,2
851,大的,대 목표,2,2
852,战舰,전함,2,2
853,斜,비스듬한,1,1
854,斜頁,비스듬한 페이지,1,2
855,貫,허비하다,1,1
856,称貫,称貫,1,2
857,頂,頂,1,1
858,鼾,鼾,1,1
859,手頂,手頂,1,2
860,頂鼾,頂鼾,1,2
861,手頂鼾,手頂鼾,1,3
862,尭,尭,1,1
863,耐,耐,1,1
864,際,際,1,1
865,等,기다림,1,1
866,耐人,인내,1,2
867,峻,峻,1,1
868,陰,음,1,1
869,以陰,以陰,1,2
870,細記,細記,1,2
871,詳細記,자세한 기,1,3
872,跨,跨,1,1
873,篠,시노,1,1
874,章斉,章斉,1,2
875,篠能,篠能,1,2
876,息,息,1,1
877,贮,贮,1,1
878,处,处,1,1
879,预,预,1,1
880,测,测,1,1
881,第,第,1,1
882,旋,旋,1,1
883,臂,팔,1,1
884,顶,상단,1,1
885,端,종료,1,1
886,恢,恢,1,1
887,复,复,1,1
888,将,将,1,1
889,须,절대로 필요한 것,1,1
890,之,의,1,1
891,建,建,1,1
892,足,足,1,1
893,够,충분히,1,1
894,宽,宽,1,1
895,隔,隔,1,1
896,带,밴드,1,1
897,形,形,1,1
898,桔,주황색,1,1
899,红,红,1,1
900,灰,灰,1,1
901,景,전망,1,1
902,显,显,1,1
903,现,现,1,1
904,灶,灶,1,1
905,边,边,1,1
906,画,画,1,1
907,两,两,1,1
908,阵,阵,1,1
909,也,也,1,1
910,情,情,1,1
911,达,범위,1,1
912,百,백,1,1
913,西,西,1,1
914,北,北,1,1
915,农,农,1,1
916,区,区,1,1
917,彩,彩,1,1
918,礼,礼,1,1
919,名,이름,1,1
920,意,意,1,1
921,娘,娘,1,1
922,补,补,1,1
923,偿,偿,1,1
924,由于,由于,1,2
925,于硅,于硅,1,2
926,基生,基生,1,2
927,生物,生物,1,2
928,物对,物对,1,2
929,对信,对信,1,2
930,信息,信息,1,2
931,息的,息的,1,2
932,的存,的存,1,2
933,存贮,存贮,1,2
934,贮和,贮和,1,2
935,和处,和处,1,2
936,处理,다루다,1,2
937,理能,理能,1,2
938,能力,能力,1,2
939,力大,力大,1,2
940,大大,大大,1,2
941,大高,大高,1,2
942,高于,高于,1,2
943,于我,于我,1,2
944,可以,할 수있다,1,2
945,以预,以预,1,2
946,预测,预测,1,2
947,测硅,测硅,1,2
948,国在,国在,1,2
949,在第,在第,1,2
950,第一,第一,1,2
951,一旋,一旋,1,2
952,旋臂,旋臂,1,2
953,臂顶,臂顶,1,2
954,顶端,顶端,1,2
955,端的,端的,1,2
956,的恢,的恢,1,2
957,恢复,恢复,1,2
958,复和,复和,1,2
959,和发,헤파,1,2
960,发展,发展,1,2
961,展将,展将,1,2
962,将是,将是,1,2
963,是神,是神,1,2
964,神速,神速,1,2
965,速的,速的,1,2
966,所以,그래서,1,2
967,以我,나처럼,1,2
968,们必,们必,1,2
969,必须,해야,1,2
970,须在,에 있어야합니다.,1,2
971,在碳,在碳,1,2
972,邦和,邦和,1,2
973,和硅,和硅,1,2
974,国之,国之,1,2
975,之间,之间,1,2
976,间建,상호 건설,1,2
977,建成,세워짐,1,2
978,成足,成足,1,2
979,足够,충분히,1,2
980,够宽,够宽,1,2
981,宽的,넓은,1,2
982,的隔,의,1,2
983,隔离,隔离,1,2
984,离带,离带,1,2
985,这些,这些,1,2
986,些娃,일부 아기,1,2
987,们在,们在,1,2
988,在烧,타고 있는,1,2
989,接着,접착,1,2
990,着他,그를 잡아,1,2
991,们又,们又,1,2
992,又烧,다시 굽기,1,2
993,烧起,확 타 오르다,1,2
994,起纸,종이 줍기,1,2
995,纸来,纸来,1,2
996,火光,불빛,1,2
997,光把,가벼운 손잡이,1,2
998,把娃,把娃,1,2
999,们的,우리의,1,2
1000,的形,的形,1,2
1001,形象,영상,1,2
1002,以桔,以桔,1,2
1003,桔红,주황색,1,2
1004,红色,빨간,1,2
1005,色在,色在,1,2
1006,夜银,나이트 실버,1,2
1007,银灰,银灰,1,2
1008,灰色,灰色,1,2
1009,色的,色的,1,2
1010,的背,뒷면,1,2
1011,背景,背景,1,2
1012,景上,景上,1,2
1013,上显,나타나다,1,2
1014,显现,나타나다,1,2
1015,现出,나타나다,1,2
1016,出来,出来,1,2
1017,这使,이것은 만든다,1,2
1018,使他,그를 보자,1,2
1019,他又,다시 그는,1,2
1020,又想,다시 생각 해봐,1,2
1021,想起,생각해 내다,1,2
1022,了那,了那,1,2
1023,那灶,나 자오,1,2
1024,灶边,스토브 측,1,2
1025,边的,边的,1,2
1026,的画,的画,1,2
1027,画面,화면,1,2
1028,他和,그는,1,2
1029,和秀,和秀,1,2
1030,秀好,秀好,1,2
1031,好过,더 나은,1,2
1032,过两,2 개 이상,1,2
1033,两年,이년,1,2
1034,年多,수년 이상,1,2
1035,后那,그 후,1,2
1036,那阵,그 버스트,1,2
1037,阵好,좋은,1,2
1038,好象,마치,1,2
1039,象就,象就,1,2
1040,就成,就成,1,2
1041,成了,되었다,1,2
1042,秀家,히데야,1,2
1043,家里,집,1,2
1044,里也,里也,1,2
1045,也通,也通,1,2
1046,通情,通情,1,2
1047,情达,情达,1,2
1048,达理,달리,1,2
1049,只要,하는 한,1,2
1050,要一,원한다,1,2
1051,一千,천,1,2
1052,千五,천 다섯,1,2
1053,五百,오백,1,2
1054,百块,백 위안,1,2
1055,块的,블록,1,2
1056,的肚,배,1,2
1057,肚疼,불평,1,2
1058,疼钱,돈 사랑,1,2
1059,西北,북서,1,2
